variant,task,metric,value,n_predictions,n_failures,exact_match_accuracy
milebench_A_gqa_lr1e4_total0.2,EgocentricNavigation,Accuracy,0.32,200,0,0.0
milebench_A_gqa_lr1e4_total0.2,GPR1200,Accuracy,0.11333333333333333,600,0,0.11166666666666666
milebench_A_gqa_lr1e4_total0.2,IEdit,ROUGE-L,0.11576526526739421,200,0,0.0
milebench_A_gqa_lr1e4_total0.2,ImageNeedleInAHaystack,ROUGE-L,0.0,320,0,0.0
milebench_A_gqa_lr1e4_total0.2,MMCoQA,ROUGE-L,0.3657918699819782,200,0,0.29
milebench_A_gqa_lr1e4_total0.2,MovingAttribute,Accuracy,0.515,200,0,0.0
milebench_A_gqa_lr1e4_total0.2,MovingDirection,Accuracy,0.335,200,0,0.0
milebench_A_gqa_lr1e4_total0.2,MultiModalQA,Accuracy,0.76,200,0,0.0
milebench_A_gqa_lr1e4_total0.2,OCR-VQA,Accuracy,0.32,200,0,0.0
milebench_A_gqa_lr1e4_total0.2,ObjectExistence,Accuracy,0.49,200,0,0.04
milebench_A_gqa_lr1e4_total0.2,ObjectInteraction,Accuracy,0.52,200,0,0.0
milebench_A_gqa_lr1e4_total0.2,ObjectShuffle,Accuracy,0.315,200,0,0.0
milebench_A_gqa_lr1e4_total0.2,SceneTransition,Accuracy,0.76,200,0,0.0
milebench_A_gqa_lr1e4_total0.2,SlideVQA,Accuracy,0.475,200,0,0.0
milebench_A_gqa_lr1e4_total0.2,Spot-the-Diff,ROUGE-L,0.19991480628061875,200,0,0.0
milebench_A_gqa_lr1e4_total0.2,StateChange,Accuracy,0.41,200,0,0.0
milebench_A_gqa_lr1e4_total0.2,TQA,Accuracy,0.465,200,0,0.0
milebench_A_gqa_lr1e4_total0.2,TextNeedleInAHaystack,ROUGE-L,0.058790006038647334,320,0,0.0
milebench_A_gqa_lr1e4_total0.2,WebQA,Accuracy,0.605,200,0,0.0
milebench_A_gqa_lr1e4_total0.2,WikiVQA,Accuracy,0.71,200,0,0.0
milebench_A_total02,ALFRED,ROUGE-L,0.27674595457708095,200,0,0.0
milebench_A_total02,ActionLocalization,Accuracy,0.265,200,0,0.0
milebench_A_total02,ActionPrediction,Accuracy,0.535,200,0,0.0
milebench_A_total02,ActionSequence,Accuracy,0.46,200,0,0.0
milebench_A_total02,CLEVR-Change,ROUGE-L,0.1350434686530305,200,0,0.0
milebench_A_total02,CharacterOrder,Accuracy,0.49,200,0,0.025
milebench_A_total02,CounterfactualInference,Accuracy,0.32,200,0,0.0
milebench_A_total02,DocVQA,Accuracy,0.51,200,0,0.005
milebench_A_total02,EgocentricNavigation,Accuracy,0.32,200,0,0.0
milebench_A_total02,GPR1200,Accuracy,0.11166666666666666,600,0,0.10666666666666667
milebench_A_total02,IEdit,ROUGE-L,0.11423560264260015,200,0,0.0
milebench_A_total02,ImageNeedleInAHaystack,ROUGE-L,0.0,320,0,0.0
milebench_A_total02,MMCoQA,ROUGE-L,0.36608879897890717,200,0,0.29
milebench_A_total02,MovingAttribute,Accuracy,0.515,200,0,0.0
milebench_A_total02,MovingDirection,Accuracy,0.335,200,0,0.0
milebench_A_total02,MultiModalQA,Accuracy,0.755,200,0,0.0
milebench_A_total02,OCR-VQA,Accuracy,0.32,200,0,0.0
milebench_A_total02,ObjectExistence,(no eval.json),,,,
milebench_traj_total02,ALFRED,ROUGE-L,0.274525125337521,200,0,0.0
milebench_traj_total02,ActionLocalization,Accuracy,0.265,200,0,0.0
milebench_traj_total02,ActionPrediction,Accuracy,0.535,200,0,0.0
milebench_traj_total02,ActionSequence,Accuracy,0.46,200,0,0.0
milebench_traj_total02,CLEVR-Change,ROUGE-L,0.12914504542717659,200,0,0.0
milebench_traj_total02,CharacterOrder,Accuracy,0.49,200,0,0.025
milebench_traj_total02,CounterfactualInference,Accuracy,0.32,200,0,0.0
milebench_traj_total02,DocVQA,Accuracy,0.51,200,0,0.005
milebench_traj_total02,EgocentricNavigation,Accuracy,0.32,200,0,0.0
milebench_traj_total02,GPR1200,Accuracy,0.115,600,0,0.11166666666666666
milebench_traj_total02,IEdit,ROUGE-L,0.11578018037369633,200,0,0.0
milebench_traj_total02,ImageNeedleInAHaystack,ROUGE-L,0.0,320,0,0.0
milebench_traj_total02,MMCoQA,ROUGE-L,0.3674727816628899,200,0,0.29
milebench_traj_total02,MovingAttribute,Accuracy,0.515,200,0,0.0
milebench_traj_total02,MovingDirection,Accuracy,0.335,200,0,0.0
milebench_traj_total02,MultiModalQA,Accuracy,0.755,200,0,0.0
milebench_traj_total02,OCR-VQA,Accuracy,0.32,200,0,0.0
milebench_traj_total02,ObjectExistence,Accuracy,0.49,200,0,0.04
milebench_traj_total02,ObjectInteraction,Accuracy,0.52,200,0,0.0
milebench_traj_total02,ObjectShuffle,Accuracy,0.315,200,0,0.0
milebench_traj_total02,SceneTransition,Accuracy,0.76,200,0,0.0
milebench_traj_total02,SlideVQA,Accuracy,0.475,200,0,0.0
milebench_traj_total02,Spot-the-Diff,ROUGE-L,0.19974054932913227,200,0,0.0
milebench_traj_total02,StateChange,Accuracy,0.41,200,0,0.0
milebench_traj_total02,TQA,Accuracy,0.465,200,0,0.0
milebench_traj_total02,TextNeedleInAHaystack,ROUGE-L,0.058790006038647334,320,0,0.0
milebench_traj_total02,WebQA,Accuracy,0.6,200,0,0.0
milebench_traj_total02,WikiVQA,Accuracy,0.71,200,0,0.0
