level,category,task_code,task_name,task_dataset_name,dataset,metric,method,ratio,score,score_percent,n_samples,n_failures,components
dataset,Temporal Multi-image,T-4,Counterfactual Reasoning and State Change,State Change,StateChange,Accuracy,OneVision-Student,0.5,0.51,51.0,200,,
dataset,Semantic Multi-image,S-1,Knowledge Grounded QA,Complex Multimodal QA,MultiModalQA,Accuracy,OneVision-Student,0.5,0.755,75.5,200,,
dataset,Semantic Multi-image,S-1,Knowledge Grounded QA,Textbook QA,TQA,Accuracy,OneVision-Student,0.5,0.72,72.0,200,,
dataset,Semantic Multi-image,S-1,Knowledge Grounded QA,Webpage QA,WebQA,Accuracy,OneVision-Student,0.5,0.76,76.0,200,,
dataset,Semantic Multi-image,S-2,Text-Rich Images QA,Document QA,DocVQA,Accuracy,OneVision-Student,0.5,0.935,93.5,200,,
dataset,Semantic Multi-image,S-2,Text-Rich Images QA,OCR QA,OCR-VQA,Accuracy,OneVision-Student,0.5,0.815,81.5,200,,
dataset,Semantic Multi-image,S-2,Text-Rich Images QA,Slide QA,SlideVQA,Accuracy,OneVision-Student,0.5,0.765,76.5,200,,
dataset,Semantic Multi-image,S-3,Visual Relation Inference,Visual Change Captioning,CLEVR-Change,ROUGE-L,OneVision-Student,0.5,0.450606,45.06,200,,
dataset,Semantic Multi-image,S-3,Visual Relation Inference,Visual Relationship Expressing,IEdit,ROUGE-L,OneVision-Student,0.5,0.32979,32.98,200,,
dataset,Semantic Multi-image,S-3,Visual Relation Inference,Visual Change Captioning,Spot-the-Diff,ROUGE-L,OneVision-Student,0.5,0.329324,32.93,200,,
dataset,Semantic Multi-image,S-4,Dialogue,Conversational Embodied Dialogue,ALFRED,ROUGE-L,OneVision-Student,0.5,0.58399,58.4,200,,
dataset,Semantic Multi-image,S-4,Dialogue,Multimodal Dialogue,MMCoQA,Accuracy,OneVision-Student,0.5,0.49,49.0,200,,
dataset,Needle In A Haystack,NH,Needle In A Haystack,Image Needle In A Haystack,ImageNeedleInAHaystack,Accuracy,OneVision-Student,0.5,0.15,15.0,320,,
dataset,Image Retrieval,IR,Image Retrieval,Image Retrieval,GPR1200,Accuracy,OneVision-Student,0.5,0.383333,38.33,600,,
task_average,Temporal Multi-image,T-1,Action Understanding and Prediction,,T-1,Accuracy,OneVision-Student,0.5,0.586667,58.67,,,ActionLocalization;ActionPrediction;ActionSequence
task_average,Temporal Multi-image,T-2,Object and Scene Understanding,,T-2,Accuracy,OneVision-Student,0.5,0.57125,57.12,,,MovingAttribute;ObjectExistence;ObjectInteraction;ObjectShuffle
task_average,Temporal Multi-image,T-3,Visual Navigation and Spatial Localization,,T-3,Accuracy,OneVision-Student,0.5,0.3175,31.75,,,EgocentricNavigation;MovingDirection
task_average,Temporal Multi-image,T-4,Counterfactual Reasoning and State Change,,T-4,Accuracy,OneVision-Student,0.5,0.625,62.5,,,CharacterOrder;CounterfactualInference;SceneTransition;StateChange
task_average,Semantic Multi-image,S-1,Knowledge Grounded QA,,S-1,Accuracy,OneVision-Student,0.5,0.745,74.5,,,MultiModalQA;TQA;WebQA
task_average,Semantic Multi-image,S-2,Text-Rich Images QA,,S-2,Accuracy,OneVision-Student,0.5,0.838333,83.83,,,DocVQA;OCR-VQA;SlideVQA
task_average,Semantic Multi-image,S-3,Visual Relation Inference,,S-3,ROUGE-L,OneVision-Student,0.5,0.369907,36.99,,,CLEVR-Change;IEdit;Spot-the-Diff
task_average,Semantic Multi-image,S-4,Dialogue,,S-4,Accuracy+ROUGE-L,OneVision-Student,0.5,0.536995,53.7,,,ALFRED;MMCoQA
task_average,Needle In A Haystack,NH,Needle In A Haystack,,NH,Accuracy,OneVision-Student,0.5,0.15,15.0,,,ImageNeedleInAHaystack
task_average,Image Retrieval,IR,Image Retrieval,,IR,Accuracy,OneVision-Student,0.5,0.383333,38.33,,,GPR1200
dataset,Temporal Multi-image,T-1,Action Understanding and Prediction,Action Localization,ActionLocalization,Accuracy,LLaVA15-Student,0.1,0.255,25.5,200,,
dataset,Temporal Multi-image,T-1,Action Understanding and Prediction,Action Prediction,ActionPrediction,Accuracy,LLaVA15-Student,0.1,0.395,39.5,200,,
dataset,Temporal Multi-image,T-1,Action Understanding and Prediction,Action Sequence,ActionSequence,Accuracy,LLaVA15-Student,0.1,0.365,36.5,200,,
dataset,Temporal Multi-image,T-2,Object and Scene Understanding,Moving Attribute,MovingAttribute,Accuracy,LLaVA15-Student,0.1,0.45,45.0,200,,
dataset,Temporal Multi-image,T-2,Object and Scene Understanding,Object Existence,ObjectExistence,Accuracy,LLaVA15-Student,0.1,0.46,46.0,200,,
dataset,Temporal Multi-image,T-2,Object and Scene Understanding,Object Interaction,ObjectInteraction,Accuracy,LLaVA15-Student,0.1,0.4,40.0,200,,
dataset,Temporal Multi-image,T-2,Object and Scene Understanding,Object Shuffle,ObjectShuffle,Accuracy,LLaVA15-Student,0.1,0.315,31.5,200,,
dataset,Temporal Multi-image,T-3,Visual Navigation and Spatial Localization,Egocentric Navigation,EgocentricNavigation,Accuracy,LLaVA15-Student,0.1,0.315,31.5,200,,
dataset,Temporal Multi-image,T-3,Visual Navigation and Spatial Localization,Moving Direction,MovingDirection,Accuracy,LLaVA15-Student,0.1,0.31,31.0,200,,
dataset,Temporal Multi-image,T-4,Counterfactual Reasoning and State Change,Character Order,CharacterOrder,Accuracy,LLaVA15-Student,0.1,0.41,41.0,200,,
dataset,Temporal Multi-image,T-4,Counterfactual Reasoning and State Change,Counterfactual Inference,CounterfactualInference,Accuracy,LLaVA15-Student,0.1,0.32,32.0,200,,
dataset,Temporal Multi-image,T-4,Counterfactual Reasoning and State Change,Scene Transition,SceneTransition,Accuracy,LLaVA15-Student,0.1,0.66,66.0,200,,
dataset,Temporal Multi-image,T-4,Counterfactual Reasoning and State Change,State Change,StateChange,Accuracy,LLaVA15-Student,0.1,0.4,40.0,200,,
dataset,Semantic Multi-image,S-1,Knowledge Grounded QA,Complex Multimodal QA,MultiModalQA,Accuracy,LLaVA15-Student,0.1,0.625,62.5,200,,
dataset,Semantic Multi-image,S-1,Knowledge Grounded QA,Textbook QA,TQA,Accuracy,LLaVA15-Student,0.1,0.445,44.5,200,,
dataset,Semantic Multi-image,S-1,Knowledge Grounded QA,Webpage QA,WebQA,Accuracy,LLaVA15-Student,0.1,0.585,58.5,200,,
dataset,Semantic Multi-image,S-1,Knowledge Grounded QA,Long Text with Images QA,WikiVQA,Accuracy,LLaVA15-Student,0.1,0.22,22.0,200,,
dataset,Semantic Multi-image,S-2,Text-Rich Images QA,Document QA,DocVQA,Accuracy,LLaVA15-Student,0.1,0.44,44.0,200,,
dataset,Semantic Multi-image,S-2,Text-Rich Images QA,OCR QA,OCR-VQA,Accuracy,LLaVA15-Student,0.1,0.065,6.5,200,,
dataset,Semantic Multi-image,S-2,Text-Rich Images QA,Slide QA,SlideVQA,Accuracy,LLaVA15-Student,0.1,0.45,45.0,200,,
dataset,Semantic Multi-image,S-3,Visual Relation Inference,Visual Change Captioning,CLEVR-Change,ROUGE-L,LLaVA15-Student,0.1,0.153745,15.37,200,,
dataset,Semantic Multi-image,S-3,Visual Relation Inference,Visual Relationship Expressing,IEdit,ROUGE-L,LLaVA15-Student,0.1,0.108865,10.89,200,,
dataset,Semantic Multi-image,S-3,Visual Relation Inference,Visual Change Captioning,Spot-the-Diff,ROUGE-L,LLaVA15-Student,0.1,0.201557,20.16,200,,
dataset,Semantic Multi-image,S-4,Dialogue,Conversational Embodied Dialogue,ALFRED,ROUGE-L,LLaVA15-Student,0.1,0.192655,19.27,200,,
dataset,Semantic Multi-image,S-4,Dialogue,Multimodal Dialogue,MMCoQA,Accuracy,LLaVA15-Student,0.1,0.375,37.5,200,,
dataset,Needle In A Haystack,NH,Needle In A Haystack,Image Needle In A Haystack,ImageNeedleInAHaystack,Accuracy,LLaVA15-Student,0.1,0.0,0.0,320,,
dataset,Needle In A Haystack,NH,Needle In A Haystack,Text Needle In A Haystack,TextNeedleInAHaystack,Accuracy,LLaVA15-Student,0.1,0.0625,6.25,320,,
dataset,Image Retrieval,IR,Image Retrieval,Image Retrieval,GPR1200,Accuracy,LLaVA15-Student,0.1,0.093333,9.33,600,,
task_average,Temporal Multi-image,T-1,Action Understanding and Prediction,,T-1,Accuracy,LLaVA15-Student,0.1,0.338333,33.83,,,ActionLocalization;ActionPrediction;ActionSequence
task_average,Temporal Multi-image,T-2,Object and Scene Understanding,,T-2,Accuracy,LLaVA15-Student,0.1,0.40625,40.62,,,MovingAttribute;ObjectExistence;ObjectInteraction;ObjectShuffle
task_average,Temporal Multi-image,T-3,Visual Navigation and Spatial Localization,,T-3,Accuracy,LLaVA15-Student,0.1,0.3125,31.25,,,EgocentricNavigation;MovingDirection
task_average,Temporal Multi-image,T-4,Counterfactual Reasoning and State Change,,T-4,Accuracy,LLaVA15-Student,0.1,0.4475,44.75,,,CharacterOrder;CounterfactualInference;SceneTransition;StateChange
task_average,Semantic Multi-image,S-1,Knowledge Grounded QA,,S-1,Accuracy,LLaVA15-Student,0.1,0.46875,46.88,,,MultiModalQA;TQA;WebQA;WikiVQA
task_average,Semantic Multi-image,S-2,Text-Rich Images QA,,S-2,Accuracy,LLaVA15-Student,0.1,0.318333,31.83,,,DocVQA;OCR-VQA;SlideVQA
task_average,Semantic Multi-image,S-3,Visual Relation Inference,,S-3,ROUGE-L,LLaVA15-Student,0.1,0.154722,15.47,,,CLEVR-Change;IEdit;Spot-the-Diff
task_average,Semantic Multi-image,S-4,Dialogue,,S-4,Accuracy+ROUGE-L,LLaVA15-Student,0.1,0.283828,28.38,,,ALFRED;MMCoQA
task_average,Needle In A Haystack,NH,Needle In A Haystack,,NH,Accuracy,LLaVA15-Student,0.1,0.03125,3.12,,,ImageNeedleInAHaystack;TextNeedleInAHaystack
task_average,Image Retrieval,IR,Image Retrieval,,IR,Accuracy,LLaVA15-Student,0.1,0.093333,9.33,,,GPR1200
dataset,Temporal Multi-image,T-1,Action Understanding and Prediction,Action Localization,ActionLocalization,Accuracy,LLaVA15-Student,0.2,0.255,25.5,200,,
dataset,Temporal Multi-image,T-1,Action Understanding and Prediction,Action Prediction,ActionPrediction,Accuracy,LLaVA15-Student,0.2,0.395,39.5,200,,
dataset,Temporal Multi-image,T-1,Action Understanding and Prediction,Action Sequence,ActionSequence,Accuracy,LLaVA15-Student,0.2,0.365,36.5,200,,
dataset,Temporal Multi-image,T-2,Object and Scene Understanding,Moving Attribute,MovingAttribute,Accuracy,LLaVA15-Student,0.2,0.46,46.0,200,,
dataset,Temporal Multi-image,T-2,Object and Scene Understanding,Object Existence,ObjectExistence,Accuracy,LLaVA15-Student,0.2,0.48,48.0,200,,
dataset,Temporal Multi-image,T-2,Object and Scene Understanding,Object Interaction,ObjectInteraction,Accuracy,LLaVA15-Student,0.2,0.4,40.0,200,,
dataset,Temporal Multi-image,T-2,Object and Scene Understanding,Object Shuffle,ObjectShuffle,Accuracy,LLaVA15-Student,0.2,0.315,31.5,200,,
dataset,Temporal Multi-image,T-3,Visual Navigation and Spatial Localization,Egocentric Navigation,EgocentricNavigation,Accuracy,LLaVA15-Student,0.2,0.315,31.5,200,,
dataset,Temporal Multi-image,T-3,Visual Navigation and Spatial Localization,Moving Direction,MovingDirection,Accuracy,LLaVA15-Student,0.2,0.315,31.5,200,,
dataset,Temporal Multi-image,T-4,Counterfactual Reasoning and State Change,Character Order,CharacterOrder,Accuracy,LLaVA15-Student,0.2,0.41,41.0,200,,
dataset,Temporal Multi-image,T-4,Counterfactual Reasoning and State Change,Counterfactual Inference,CounterfactualInference,Accuracy,LLaVA15-Student,0.2,0.315,31.5,200,,
dataset,Temporal Multi-image,T-4,Counterfactual Reasoning and State Change,Scene Transition,SceneTransition,Accuracy,LLaVA15-Student,0.2,0.66,66.0,200,,
dataset,Temporal Multi-image,T-4,Counterfactual Reasoning and State Change,State Change,StateChange,Accuracy,LLaVA15-Student,0.2,0.4,40.0,200,,
dataset,Semantic Multi-image,S-1,Knowledge Grounded QA,Complex Multimodal QA,MultiModalQA,Accuracy,LLaVA15-Student,0.2,0.63,63.0,200,,
dataset,Semantic Multi-image,S-1,Knowledge Grounded QA,Textbook QA,TQA,Accuracy,LLaVA15-Student,0.2,0.45,45.0,200,,
dataset,Semantic Multi-image,S-1,Knowledge Grounded QA,Webpage QA,WebQA,Accuracy,LLaVA15-Student,0.2,0.585,58.5,200,,
dataset,Semantic Multi-image,S-1,Knowledge Grounded QA,Long Text with Images QA,WikiVQA,Accuracy,LLaVA15-Student,0.2,0.22,22.0,200,,
dataset,Semantic Multi-image,S-2,Text-Rich Images QA,Document QA,DocVQA,Accuracy,LLaVA15-Student,0.2,0.44,44.0,200,,
dataset,Semantic Multi-image,S-2,Text-Rich Images QA,OCR QA,OCR-VQA,Accuracy,LLaVA15-Student,0.2,0.065,6.5,200,,
dataset,Semantic Multi-image,S-2,Text-Rich Images QA,Slide QA,SlideVQA,Accuracy,LLaVA15-Student,0.2,0.455,45.5,200,,
dataset,Semantic Multi-image,S-3,Visual Relation Inference,Visual Change Captioning,CLEVR-Change,ROUGE-L,LLaVA15-Student,0.2,0.160154,16.02,200,,
dataset,Semantic Multi-image,S-3,Visual Relation Inference,Visual Relationship Expressing,IEdit,ROUGE-L,LLaVA15-Student,0.2,0.117057,11.71,200,,
dataset,Semantic Multi-image,S-3,Visual Relation Inference,Visual Change Captioning,Spot-the-Diff,ROUGE-L,LLaVA15-Student,0.2,0.210192,21.02,200,,
dataset,Semantic Multi-image,S-4,Dialogue,Conversational Embodied Dialogue,ALFRED,ROUGE-L,LLaVA15-Student,0.2,0.192806,19.28,200,,
dataset,Semantic Multi-image,S-4,Dialogue,Multimodal Dialogue,MMCoQA,Accuracy,LLaVA15-Student,0.2,0.38,38.0,200,,
dataset,Needle In A Haystack,NH,Needle In A Haystack,Image Needle In A Haystack,ImageNeedleInAHaystack,Accuracy,LLaVA15-Student,0.2,0.0,0.0,320,,
dataset,Needle In A Haystack,NH,Needle In A Haystack,Text Needle In A Haystack,TextNeedleInAHaystack,Accuracy,LLaVA15-Student,0.2,0.0625,6.25,320,,
dataset,Image Retrieval,IR,Image Retrieval,Image Retrieval,GPR1200,Accuracy,LLaVA15-Student,0.2,0.093333,9.33,600,,
task_average,Temporal Multi-image,T-1,Action Understanding and Prediction,,T-1,Accuracy,LLaVA15-Student,0.2,0.338333,33.83,,,ActionLocalization;ActionPrediction;ActionSequence
task_average,Temporal Multi-image,T-2,Object and Scene Understanding,,T-2,Accuracy,LLaVA15-Student,0.2,0.41375,41.38,,,MovingAttribute;ObjectExistence;ObjectInteraction;ObjectShuffle
